Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,10000,10000,10000,10000,10000,58576700
2019-01-03,10000,10000,10000,10000,10000,74820200
2019-01-04,10000,10000,10000,10000,10000,74709300
2019-01-07,10000,10000,10000,10000,10000,52059300
2019-01-08,10000,10000,10000,10000,10000,49388700
2019-01-09,10000,10000,10000,10000,10000,46491700
2019-01-10,10000,10000,10000,10000,10000,38943400
2019-01-11,10000,10000,10000,10000,10000,30176600
2019-01-14,10000,10000,10000,10000,10000,30710200
2019-01-15,10000,10000,10000,10000,10000,40874200
2019-01-16,10000,10000,10000,10000,10000,33812200
2019-01-17,10000,10000,10000,10000,10000,39329000
2019-01-18,10000,10000,10000,10000,10000,57183200
2019-01-22,10000,10000,10000,10000,10000,56711700
2019-01-23,10000,10000,10000,10000,10000,38106100
2019-01-24,10000,10000,10000,10000,10000,32417800
2019-01-25,10000,10000,10000,10000,10000,36515900
2019-01-28,10000,10000,10000,10000,10000,33491200
2019-01-29,10000,10000,10000,10000,10000,30784200
2019-01-30,10000,10000,10000,10000,10000,41346500
2019-01-31,10000,10000,10000,10000,10000,37258400
2019-02-01,10000,10000,10000,10000,10000,32143700
2019-02-04,10000,10000,10000,10000,10000,26718800
2019-02-05,10000,10000,10000,10000,10000,28156400
2019-02-06,10000,10000,10000,10000,10000,27970000
2019-02-07,10000,10000,10000,10000,10000,42036200
2019-02-08,10000,10000,10000,10000,10000,29020700
2019-02-11,10000,10000,10000,10000,10000,21434100
2019-02-12,10000,10000,10000,10000,10000,29722100
2019-02-13,10000,10000,10000,10000,10000,26094100
2019-02-14,10000,10000,10000,10000,10000,30326800
2019-02-15,10000,10000,10000,10000,10000,32521700
2019-02-19,10000,10000,10000,10000,10000,19487700
2019-02-20,10000,10000,10000,10000,10000,32593000
2019-02-21,10000,10000,10000,10000,10000,25207400
2019-02-22,10000,10000,10000,10000,10000,27735400
2019-02-25,10000,10000,10000,10000,10000,32608800
2019-02-26,10000,10000,10000,10000,10000,21939700
2019-02-27,10000,10000,10000,10000,10000,25162000
2019-02-28,10000,10000,10000,10000,10000,25085500
2019-03-01,10000,10000,10000,10000,10000,31431200
2019-03-04,10000,10000,10000,10000,10000,38063500
2019-03-05,10000,10000,10000,10000,10000,22319900
2019-03-06,10000,10000,10000,10000,10000,27194600
2019-03-07,10000,10000,10000,10000,10000,39407400
2019-03-08,10000,10000,10000,10000,10000,39303200
2019-03-11,10000,10000,10000,10000,10000,30518400
2019-03-12,10000,10000,10000,10000,10000,33953500
2019-03-13,10000,10000,10000,10000,10000,42426100
2019-03-14,10000,10000,10000,10000,10000,23751500
2019-03-15,10000,10000,10000,10000,10000,38192000
2019-03-18,10000,10000,10000,10000,10000,32935100
2019-03-19,10000,10000,10000,10000,10000,36893300
2019-03-20,10000,10000,10000,10000,10000,50105000
2019-03-21,10000,10000,10000,10000,10000,42428500
2019-03-22,10000,10000,10000,10000,10000,70794500
2019-03-25,10000,10000,10000,10000,10000,46336500
2019-03-26,10000,10000,10000,10000,10000,33248100
2019-03-27,10000,10000,10000,10000,10000,37096700
2019-03-28,10000,10000,10000,10000,10000,30368200
2019-03-29,10000,10000,10000,10000,10000,35205500
2019-04-01,10000,10000,10000,10000,10000,30969500
2019-04-02,10000,10000,10000,10000,10000,22645200
2019-04-03,10000,10000,10000,10000,10000,31633500
2019-04-04,10000,10000,10000,10000,10000,28530800
2019-04-05,10000,10000,10000,10000,10000,25674700
2019-04-08,10000,10000,10000,10000,10000,22697500
2019-04-09,10000,10000,10000,10000,10000,25631900
2019-04-10,10000,10000,10000,10000,10000,24563000
2019-04-11,10000,10000,10000,10000,10000,20654100
2019-04-12,10000,10000,10000,10000,10000,24989100
2019-04-15,10000,10000,10000,10000,10000,21073000
2019-04-16,10000,10000,10000,10000,10000,27195700
2019-04-17,10000,10000,10000,10000,10000,29651600
2019-04-18,10000,10000,10000,10000,10000,28580900
2019-04-22,10000,10000,10000,10000,10000,17936000
2019-04-23,10000,10000,10000,10000,10000,33665600
2019-04-24,10000,10000,10000,10000,10000,24977100
2019-04-25,10000,10000,10000,10000,10000,29517500
2019-04-26,10000,10000,10000,10000,10000,26359500
2019-04-29,10000,10000,10000,10000,10000,21716200
2019-04-30,10000,10000,10000,10000,10000,31495300
2019-05-01,10000,10000,10000,10000,10000,34797100
2019-05-02,10000,10000,10000,10000,10000,44110100
2019-05-03,10000,10000,10000,10000,10000,30386200
2019-05-06,10000,10000,10000,10000,10000,38371800
2019-05-07,10000,10000,10000,10000,10000,58818100
2019-05-08,10000,10000,10000,10000,10000,37165300
2019-05-09,10000,10000,10000,10000,10000,55351700
2019-05-10,10000,10000,10000,10000,10000,58526400
2019-05-13,10000,10000,10000,10000,10000,67185800
2019-05-14,10000,10000,10000,10000,10000,43360600
2019-05-15,10000,10000,10000,10000,10000,40944500
2019-05-16,10000,10000,10000,10000,10000,39281200
2019-05-17,10000,10000,10000,10000,10000,44702300
2019-05-20,10000,10000,10000,10000,10000,38608300
2019-05-21,10000,10000,10000,10000,10000,31613800
2019-05-22,10000,10000,10000,10000,10000,24332600
2019-05-23,10000,10000,10000,10000,10000,45351300
2019-05-24,10000,10000,10000,10000,10000,25903300
2019-05-28,10000,10000,10000,10000,10000,24763800
2019-05-29,10000,10000,10000,10000,10000,42178800
2019-05-30,10000,10000,10000,10000,10000,30354800
2019-05-31,10000,10000,10000,10000,10000,45446200
